source_id	source_path	source_kind	source_bytes	source_hash	subset_id	group_id	chunk_set_id	target_artifact	folder_artifact	mapping_mode	status
SRC-001	pi-mono/packages/coding-agent/src/cli/args.ts	typescript	13704	5bd31a9b22943d4479539f2c90891ce83641bdea96da6e7a3b8f2c1ecd0b3593	pi-mode-migration	pi-cli	-	Docs/learn/files/pi-mono/packages/coding-agent/src/cli/args.ts_transform.md	Docs/learn/folders/pi-mono/packages/coding-agent/src/current_folder_transform.md	one_to_one	[x]
SRC-002	pi-mono/packages/coding-agent/src/main.ts	typescript	28402	bf990fbe55858919b59ca51562058bfda773e5ddff9937f54743c7dae486a60b	pi-mode-migration	pi-cli	-	Docs/learn/files/pi-mono/packages/coding-agent/src/main.ts_transform.md	Docs/learn/folders/pi-mono/packages/coding-agent/src/current_folder_transform.md	one_to_one	[x]
SRC-003	pi-mono/packages/coding-agent/src/modes/rpc/jsonl.ts	typescript	1503	95723d349fcebad1f1da7ce103d02ba7d5e2c876b7d178d41d8b56beedbd93e0	pi-headless	pi-headless	-	Docs/learn/files/pi-mono/packages/coding-agent/src/modes/rpc/jsonl.ts_transform.md	Docs/learn/folders/pi-mono/packages/coding-agent/src/modes/rpc/current_folder_transform.md	one_to_one	[x]
SRC-004	pi-mono/packages/coding-agent/src/modes/rpc/rpc-mode.ts	typescript	19278	3e7c2374eefd3e2d74720ea5b32f78040ac3252e1c21fd5f609353e50d27d222	pi-headless	pi-headless	-	Docs/learn/files/pi-mono/packages/coding-agent/src/modes/rpc/rpc-mode.ts_transform.md	Docs/learn/folders/pi-mono/packages/coding-agent/src/modes/rpc/current_folder_transform.md	one_to_one	[x]
SRC-005	pi-mono/packages/coding-agent/src/core/session-manager.ts	typescript	42166	404b056c6b60125470e2e3d94b310f99419a93b52739a848b208256fc307dc73	pi-session	pi-session	-	Docs/learn/files/pi-mono/packages/coding-agent/src/core/session-manager.ts_transform.md	Docs/learn/folders/pi-mono/packages/coding-agent/src/core/current_folder_transform.md	one_to_one	[x]
SRC-006	pi-mono/packages/tui/src/tui.ts	typescript	41606	c66359caeee468529dae65905401d67b7ba3dfaaae19a145e94bae7601bb1d31	pi-tui	pi-tui	-	Docs/learn/files/pi-mono/packages/tui/src/tui.ts_transform.md	Docs/learn/folders/pi-mono/packages/tui/src/current_folder_transform.md	one_to_one	[x]
SRC-007	pi-mono/packages/tui/src/terminal.ts	typescript	10910	3b006ac13d7674f2eb64108df8938a3b5092c15cfbc358d0b7e6592a160d01d6	pi-tui	pi-tui	-	Docs/learn/files/pi-mono/packages/tui/src/terminal.ts_transform.md	Docs/learn/folders/pi-mono/packages/tui/src/current_folder_transform.md	one_to_one	[x]
SRC-008	b3ehive/docs/blueprint.md	markdown	6683	524535f012dde08afcd3f74a155e3bef6d66cae9c1e90ac0be38223725e8e2e0	b3-contract	b3-docs	-	Docs/learn/files/b3ehive/docs/blueprint.md_transform.md	Docs/learn/folders/b3ehive/docs/current_folder_transform.md	one_to_one	[x]
SRC-009	b3ehive/looper-cron-builder/references/b3ehive-bridge-contract.md	markdown	15211	b0d49aeaf50bac18546b1eff8178887360e8e2211cb4c590db5ba27a57362869	b3-contract	b3-bridge	-	Docs/learn/files/b3ehive/looper-cron-builder/references/b3ehive-bridge-contract.md_transform.md	Docs/learn/folders/b3ehive/looper-cron-builder/references/current_folder_transform.md	one_to_one	[x]
SRC-010	codex-rust-deslop/codex-0.148-rust-refactor-report.zh-CN.md	markdown	41367	e92528d14bd26369ac7b7fbfc1edc87fa10fe3cbd8f22876a25d4c3cf5261be2	rust-quality	codex-deslop	-	Docs/learn/files/codex-rust-deslop/codex-0.148-rust-refactor-report.zh-CN.md_transform.md	Docs/learn/folders/codex-rust-deslop/current_folder_transform.md	one_to_one	[x]
